
1.txt, size of file is: 261 symbol(s)
2.txt, size of file is: 388 symbol(s)
3.txt, size of file is: 395 symbol(s)
4.txt, size of file is: 334 symbol(s)
5.txt, size of file is: 68 symbol(s)
6.txt, size of file is: 203 symbol(s)
7.txt, size of file is: 48 symbol(s)
8.txt, size of file is: 249 symbol(s)
9.txt, size of file is: 53 symbol(s)
10.txt, size of file is: 519 symbol(s)
11.txt, size of file is: 115 symbol(s)
12.txt, size of file is: 392 symbol(s)
13.txt, size of file is: 456 symbol(s)
14.txt, size of file is: 181 symbol(s)
15.txt, size of file is: 384 symbol(s)
16.txt, size of file is: 365 symbol(s)
17.txt, size of file is: 291 symbol(s)
18.txt, size of file is: 37 symbol(s)
19.txt, size of file is: 278 symbol(s)
20.txt, size of file is: 325 symbol(s)
21.txt, size of file is: 480 symbol(s)
22.txt, size of file is: 322 symbol(s)
23.txt, size of file is: 259 symbol(s)
24.txt, size of file is: 477 symbol(s)
25.txt, size of file is: 367 symbol(s)
26.txt, size of file is: 222 symbol(s)
27.txt, size of file is: 107 symbol(s)
28.txt, size of file is: 439 symbol(s)
29.txt, size of file is: 175 symbol(s)
30.txt, size of file is: 252 symbol(s)
31.txt, size of file is: 262 symbol(s)
32.txt, size of file is: 499 symbol(s)
33.txt, size of file is: 157 symbol(s)
34.txt, size of file is: 55 symbol(s)
35.txt, size of file is: 197 symbol(s)
36.txt, size of file is: 534 symbol(s)
37.txt, size of file is: 411 symbol(s)
38.txt, size of file is: 9 symbol(s)
39.txt, size of file is: 300 symbol(s)
40.txt, size of file is: 144 symbol(s)
41.txt, size of file is: 95 symbol(s)
42.txt, size of file is: 553 symbol(s)
43.txt, size of file is: 177 symbol(s)
44.txt, size of file is: 204 symbol(s)
45.txt, size of file is: 520 symbol(s)
46.txt, size of file is: 125 symbol(s)
47.txt, size of file is: 553 symbol(s)
48.txt, size of file is: 392 symbol(s)
49.txt, size of file is: 200 symbol(s)
50.txt, size of file is: 523 symbol(s)
51.txt, size of file is: 562 symbol(s)
52.txt, size of file is: 318 symbol(s)
53.txt, size of file is: 456 symbol(s)
54.txt, size of file is: 386 symbol(s)
55.txt, size of file is: 275 symbol(s)
56.txt, size of file is: 525 symbol(s)
57.txt, size of file is: 325 symbol(s)
58.txt, size of file is: 280 symbol(s)
59.txt, size of file is: 436 symbol(s)
60.txt, size of file is: 396 symbol(s)
61.txt, size of file is: 161 symbol(s)
62.txt, size of file is: 230 symbol(s)
63.txt, size of file is: 233 symbol(s)
64.txt, size of file is: 142 symbol(s)
65.txt, size of file is: 259 symbol(s)
66.txt, size of file is: 391 symbol(s)
67.txt, size of file is: 339 symbol(s)
68.txt, size of file is: 487 symbol(s)
69.txt, size of file is: 322 symbol(s)
70.txt, size of file is: 171 symbol(s)
71.txt, size of file is: 364 symbol(s)
72.txt, size of file is: 82 symbol(s)
73.txt, size of file is: 449 symbol(s)
74.txt, size of file is: 45 symbol(s)
75.txt, size of file is: 131 symbol(s)
76.txt, size of file is: 310 symbol(s)
77.txt, size of file is: 98 symbol(s)
78.txt, size of file is: 348 symbol(s)
79.txt, size of file is: 417 symbol(s)
80.txt, size of file is: 430 symbol(s)
81.txt, size of file is: 508 symbol(s)
82.txt, size of file is: 248 symbol(s)
83.txt, size of file is: 516 symbol(s)
84.txt, size of file is: 544 symbol(s)
85.txt, size of file is: 439 symbol(s)
86.txt, size of file is: 415 symbol(s)
87.txt, size of file is: 419 symbol(s)
88.txt, size of file is: 493 symbol(s)
89.txt, size of file is: 176 symbol(s)
90.txt, size of file is: 67 symbol(s)
91.txt, size of file is: 368 symbol(s)
92.txt, size of file is: 402 symbol(s)
93.txt, size of file is: 371 symbol(s)
94.txt, size of file is: 1 symbol(s)
95.txt, size of file is: 359 symbol(s)
96.txt, size of file is: 384 symbol(s)
97.txt, size of file is: 535 symbol(s)
98.txt, size of file is: 78 symbol(s)
99.txt, size of file is: 34 symbol(s)
100.txt, size of file is: 234 symbol(s)
